repository,documents,publications,creation,presentation,tableurs,images,videos_audio,codes_scripts,others
BMU,1.89,10.94,5.85,0.69,1.56,24.19,47.38,0.63,6.87
DCTN,2.53,11.99,0.96,3.73,0.85,21.49,47.63,0.17,10.63
SEC,1.72,26.85,2.88,0.75,0.88,51.56,6.41,1.55,7.4
Ariana,0.87,4.16,1.21,0.28,0.53,43.04,43.21,0.08,6.62
BGE,3.22,4.28,0.23,0.44,1.94,66.14,7.35,10.26,6.14
FMAC,2.08,22.3,6.18,0.55,0.66,37.61,18.11,0.04,12.48
MAH,2.87,9.74,1.81,1.58,1.07,61.49,12.24,0.36,8.84
MEG,0.33,1.32,1.18,0.21,0.1,10.09,80.04,0.06,6.66
CJB,1.45,1.93,1.08,0.59,0.43,46.25,1.35,2.05,44.87
MHN,1.65,5.11,7.79,1.1,0.23,49.38,14.22,0.58,19.94
